occupation_name,url,category,median_pay_hourly,median_pay_annual,entry_level_education,work_experience,on_the_job_training,number_of_jobs,job_outlook,what_they_do,scraped_at
Medical and health services managers,https://www.bls.gov/ooh/management/medical-and-health-services-managers.htm,Management,$56.71     per hour,"$117,960",Bachelor's degree,Less than 5 years,None,616200,23% (Much faster than average),"Medical and health services managers, also calledhealthcare executivesorhealthcare administrators, plan, direct, and coordinate medical and health services. They may manage an entire facility, a specific clinical area or department, or a medical practice for a group of physicians. Medical and health services managers must adapt to changes in healthcare laws, regulations, and technology. Medical and health services managers typically do the following: Medical and health services managers set and ",2025-10-01T12:41:49.258540
Medical records specialists,https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm,Healthcare,$24.16     per hour,"$50,250",Postsecondary nondegree award,None,None,194800,7% (Much faster than average),"Medical records specialists compile, process, and maintain patient files. They also may classify and enter patients’ medical information into the healthcare industry's numerical coding system. Medical records specialists typically do the following: Medical records specialists have a variety of data entry and recordkeeping tasks. They may gather patients’ medical histories, symptoms, test results, treatments, and other health information and enter the details into electronic health records (EHR) ",2025-10-01T12:41:49.820907
"Medical scientists, except epidemiologists",https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm,Life Physical And Social Science,$48.36     per hour,"$100,590",Doctoral or professional degree,None,None,165300,9% (Much faster than average),"Medical scientists conduct research aimed at improving overall human health. They often use clinical trials and other investigative methods to reach their findings. Medical scientists typically do the following: Medical scientists form hypotheses and develop experiments. They study the causes of diseases and other health problems in a variety of ways. For example, they may conduct clinical trials, working with licensedphysiciansto test treatments on patients who have agreed to participate in the",2025-10-01T12:41:50.404183
Medical secretaries and administrative assistants,https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,Office And Administrative Support,$22.82     per hour,"$47,460",High school diploma or equivalent,See How to Become One,See How to Become One,3453100,0% (Little or no change),"Secretaries and administrative assistants do routine clerical and organizational tasks. They arrange files, prepare documents, schedule appointments, and support other staff. Secretaries and administrative assistants typically do the following: Secretaries and administrative assistants help an organization run efficiently. They use computer software to create spreadsheets; manage databases; and prepare presentations, reports, and documents. They also may negotiate with vendors, buy supplies, and",2025-10-01T12:41:50.970970
Library technicians,https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,Education Training And Library,$18.05     per hour,"$37,540",See How to Become One,None,See How to Become One,163100,-7% (Decline),"Library technicians and assistants help librarians with all aspects of running a library. They assist patrons, organize library materials and information, and do clerical and administrative tasks. Library technicians and assistants typically do the following: Alibrarianusually supervises library technicians and assistants. Both technicians and assistants help patrons find information and organize library materials. However, library technicians typically have more responsibilities than library as",2025-10-01T12:41:51.538154
Tutors,https://www.bls.gov/ooh/education-training-and-library/tutors.htm,Education Training And Library,$19.27     per hour,"$40,090","Some college, no degree",None,None,215500,1% (Slower than average),"Tutors instruct students individually or in small groups to support formal class instruction or improve academic performance. Some tutors prepare students for standardized or admissions tests. Tutors typically do the following: Tutors work with students one-on-one or in groups to help them learn or to reinforce subject material. For example, they may help students with homework assignments or review worksheets, drills, or other academic exercises. They may create tools and activities, such as ed",2025-10-01T12:41:52.102877
Librarians and media collections specialists,https://www.bls.gov/ooh/education-training-and-library/librarians.htm,Education Training And Library,$30.92     per hour,"$64,320",Master's degree,None,None,142100,2% (Slower than average),"Librarians and library media specialists help people find information and conduct research for personal and professional use. Their job duties may change based on the type of setting they work in, such as public, school, or medical libraries. Librarians and library media specialists typically do the following: In small libraries, these workers are often responsible for many or all aspects of library operations. In large libraries, they usually focus on one aspect of the library, such as user ser",2025-10-01T12:41:52.679662
Art directors,https://www.bls.gov/ooh/arts-and-design/art-directors.htm,Arts And Design,$53.38     per hour,"$111,040",Bachelor's degree,5 years or more,None,135000,4% (As fast as average),"Art directors are responsible for the visual style and images in magazines, newspapers, product packaging, and movie and television productions. They create the overall design and direct others who develop artwork or layouts. Art directors typically do the following: Art directors typically oversee the work of other designers and artists who produce images for television, film, live performances, advertisements, or video games. They determine the overall style in which a message is communicated ",2025-10-01T12:41:53.242031
Forest and conservation workers,https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm,Farming Fishing And Forestry,$21.00     per hour,"$43,680",High school diploma or equivalent,None,Moderate-term on-the-job training,10800,-5% (Decline),"Forest and conservation workers improve the quality of forests, rangelands, and wetlands. Under the supervision ofconservation scientists and foresters, they develop, maintain, and protect forests. Forest and conservation workers typically do the following: Forest and conservation workers do physical tasks to maintain and improve the quality of a forest. They use a variety of equipment, including digging and planting tools to plant seedlings and power saws to cut down diseased trees. Some work o",2025-10-01T12:41:53.813039
Automotive service technicians and mechanics,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-service-technicians-and-mechanics.htm,Installation Maintenance And Repair,$23.88     per hour,"$49,670",Postsecondary nondegree award,None,Short-term on-the-job training,805600,4% (As fast as average),"Automotive service technicians and mechanics, often calledservice techniciansorservice techs, inspect, maintain, and repair cars and light trucks. Automotive service technicians and mechanics typically do the following: Although service technicians work on traditional mechanical systems, such as engines, transmissions, and drivebelts, they also must be familiar with electronic systems and sensors, such as those used for braking, transmission, and accident avoidance. Some technicians primarily fo",2025-10-01T12:41:54.371546
Athletic trainers,https://www.bls.gov/ooh/healthcare/athletic-trainers.htm,Healthcare,,"$60,250",Master's degree,None,None,33900,11% (Much faster than average),"Athletic trainers specialize in preventing, diagnosing, and treating muscle and bone injuries and illnesses. Athletic trainers typically do the following: Athletic trainers work with people of all ages and all skill levels, from young children to soldiers and professional athletes. Athletic trainers are usually one of the first healthcare providers on the scene when injuries occur on the field. They work under the direction of a licensedphysicianand with other healthcare providers, often discuss",2025-10-01T12:41:54.937289
"News analysts, reporters, and journalists",https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,Media And Communication,$28.98     per hour,"$60,280",Bachelor's degree,None,None,49300,-4% (Decline),"News analysts, reporters, and journalists keep the public updated about current events and noteworthy information. They report international, national, and local news for newspapers, magazines, websites, television, and radio. News analysts, reporters, and journalists typically do the following: News analysts, reporters, and journalists often work for a particular type of media organization, such as a television or radio station, newspaper, or website. Those who work in television and radio set ",2025-10-01T12:41:55.504584
Surgical assistants,https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,Healthcare,$30.04     per hour,"$62,480",Postsecondary nondegree award,None,None,141000,5% (Faster than average),"Surgical assistants and technologists help with surgical operations. Surgical assistants, also calledsurgical first assistants, help surgeons with tasks such as making incisions, placing clamps, and closing surgical sites. Surgical technologists, also calledoperating room technicians, prepare operating rooms, arrange equipment, and help doctors and first assistants during surgeries. Surgical technologists typically do the following: Before an operation, surgical technologists prepare the operati",2025-10-01T12:41:56.094598
Economists,https://www.bls.gov/ooh/life-physical-and-social-science/economists.htm,Life Physical And Social Science,$55.50     per hour,"$115,440",Master's degree,None,None,17600,1% (Slower than average),"Economists conduct research, prepare reports, and evaluate issues related to monetary and fiscal policy. They also may collect and analyze statistical data. Economists typically do the following: Economists analyze topics related to the production, distribution, and use (consumption) of goods and services. They work in or across a variety of fields, such as business, health, and the environment. For example, some economists study the cost of products, healthcare, or energy, while others examine ",2025-10-01T12:41:56.672352
Light truck drivers,https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,Transportation And Material Moving,$20.56     per hour,"$42,770",High school diploma or equivalent,None,Short-term on-the-job training,1531300,8% (Much faster than average),"Delivery truck drivers and driver/sales workers pick up, transport, and drop off packages and small shipments within a local region or urban area. They drive trucks weighing less than 26,001 pounds total for vehicle, passengers, and cargo. Delivery truck drivers usually transport merchandise from a distribution center to businesses and households. Delivery truck drivers and driver/sales workers typically do the following: Most drivers generally receive instructions to go to a delivery location a",2025-10-01T12:41:57.238736
Medical assistants,https://www.bls.gov/ooh/healthcare/medical-assistants.htm,Healthcare,$21.25     per hour,"$44,200",Postsecondary nondegree award,None,None,811000,12% (Much faster than average),"Medical assistants complete administrative and clinical tasks, such as scheduling appointments and taking patients’ vital signs. Their duties vary by location, specialty, and employer. Medical assistants typically do the following: Medical assistants often focus on either clinical or administrative tasks, although some do both. Their primary clinical tasks involve taking and recording patients’ personal information and medical history. Other tasks that assistants are allowed to do vary by state ",2025-10-01T12:41:57.802892
"Meeting, convention, and event planners",https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,Business And Financial,$28.58     per hour,"$59,440",Bachelor's degree,None,None,155800,5% (Faster than average),"Meeting, convention, and event planners arrange all aspects of events and professional gatherings. They arrange meeting locations, transportation, and other details. Meeting, convention, and event planners typically do the following: Meeting, convention, and event planners organize a variety of social and professional events, including weddings, educational conferences, and business conventions. They coordinate every detail of these events, including finances. Before planning a meeting, for exam",2025-10-01T12:41:58.367588
"Middle school teachers, except special and career/technical education",https://www.bls.gov/ooh/education-training-and-library/middle-school-teachers.htm,Education Training And Library,,"$62,970",Bachelor's degree,None,None,633700,-2% (Decline),"Middle school teachers educate students, typically in sixth through eighth grade. Middle school teachers help students build on the fundamentals taught in elementary school and prepare students for high school. Middle school teachers typically do the following: Middle school typically goes from sixth to eighth grades. However, in some school districts, middle school may begin in fourth grade or extend through ninth grade. In many schools, middle school teachers are responsible for certain subjec",2025-10-01T12:41:58.936236
Motorboat mechanics and service technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/small-engine-mechanics.htm,Installation Maintenance And Repair,$23.19     per hour,"$48,240",See How to Become One,None,See How to Become One,78000,4% (As fast as average),"Small engine mechanics inspect, service, and repair motorized power equipment. Mechanics often specialize in one type of equipment, such as motorcycles, motorboats, or outdoor power equipment. Small engine mechanics typically do the following:  Small engine mechanics work on power equipment ranging from snowmobiles to chain saws. When equipment breaks down, mechanics use many strategies to diagnose the source and extent of the problem. Small engine mechanics identify mechanical, electrical, and ",2025-10-01T12:41:59.499677
Insurance sales agents,https://www.bls.gov/ooh/sales/insurance-sales-agents.htm,Sales,$29.02     per hour,"$60,370",High school diploma or equivalent,None,Moderate-term on-the-job training,568800,4% (As fast as average),"Insurance sales agents contact potential customers and sell one or more types of insurance. These agents explain various insurance policies and help clients choose the plans that suit them. Insurance sales agents typically do the following: Insurance sales agents commonly sell one or more types of insurance, such as property and casualty, life, health, and long-term care. Property and casualty insurance agentssell policies that protect people and businesses from financial loss resulting from aut",2025-10-01T12:42:00.063280
Community health workers,https://www.bls.gov/ooh/community-and-social-service/community-health-workers.htm,Community And Social Service,$24.54     per hour,"$51,030",High school diploma or equivalent,None,Short-term on-the-job training,65100,11% (Much faster than average),"Community health workers promote wellness by helping people adopt healthy behaviors. They implement programs and advocate for people who may have limited access to health resources and social services. Community health workers typically do the following: Community health workers act as intermediaries between their clients and providers of healthcare and social services. They identify health-related issues, collect data, and discuss clients’ health concerns within the community. For example, comm",2025-10-01T12:42:00.619376
Semiconductor processing technicians,https://www.bls.gov/ooh/production/semiconductor-processing-technicians.htm,Production,$24.60     per hour,"$51,180",High school diploma or equivalent,None,Moderate-term on-the-job training,31900,11% (Much faster than average),"Semiconductor processing technicians perform tasks in the manufacture of electronic semiconductors, commonly known as integrated circuits or microchips, that are used in cars, smartphones, and other everyday devices. Throughout production, these workers process silicon crystals into flat wafers, the primary material used in manufacturing semiconductors. Semiconductor processing technicians typically do the following: Semiconductor processing technicians are largely responsible for quality contro",2025-10-01T12:42:01.176865
Music directors and composers,https://www.bls.gov/ooh/entertainment-and-sports/music-directors-and-composers.htm,Entertainment And Sports,$30.61     per hour,"$63,670",Bachelor's degree,Less than 5 years,None,47300,0% (Little or no change),"Music directors, also calledconductors, lead orchestras and other musical groups during performances and recording sessions. Composers write and arrange music in a variety of musical styles. Music directors typically do the following: Music directors lead orchestras, choirs, and other musical groups. They ensure that musicians play with one coherent sound, balancing the melody, timing, rhythm, and volume. They also give feedback to musicians and section leaders on sound and style. Music director",2025-10-01T12:42:01.764833
Natural sciences managers,https://www.bls.gov/ooh/management/natural-sciences-managers.htm,Management,$77.49     per hour,"$161,180",Bachelor's degree,5 years or more,None,104300,4% (As fast as average),"Natural sciences managers plan, supervise, or coordinate activities in fields such as life sciences, physical sciences, mathematics, and statistics. They direct work related to research and development and coordinate activities such as testing, quality control, and production. Natural sciences managers typically do the following: Natural sciences managers direct research and coordinate product development and production activities. Their duties vary with the field (such as biology or chemistry) ",2025-10-01T12:42:02.315111
"Agricultural workers, all other",https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,Farming Fishing And Forestry,$17.30     per hour,"$35,980",See How to Become One,None,See How to Become One,812600,-3% (Decline),"Agricultural workers maintain crops and tend livestock. They perform physical labor and operate machinery under the supervision offarmers, ranchers, and other agricultural managers. Agricultural workers typically do the following: The following are examples of types of agricultural workers: Agricultural equipment operatorsuse a variety of farm equipment to plow and sow seeds, as well as to maintain and harvest crops. They may use machines such as tractors, balers, conveyor belts, fertilizer spre",2025-10-01T12:42:02.881554
Electro-mechanical and mechatronics technologists and technicians,https://www.bls.gov/ooh/architecture-and-engineering/electro-mechanical-technicians.htm,Architecture And Engineering,$34.02     per hour,"$70,760",Associate's degree,None,None,15000,1% (Slower than average),"Electro-mechanical and mechatronics technologists and technicians combine knowledge of mechanical technology with knowledge of electrical and electronic circuitry. They operate, test, and maintain unmanned, automated, robotic, or electromechanical equipment. Electro-mechanical and mechatronics technologists and technicians typically do the following: Electro-mechanical and mechatronics technologists and technicians test and operate machines in factories and at other worksites. They also document",2025-10-01T12:42:03.448757
Advertising sales agents,https://www.bls.gov/ooh/sales/advertising-sales-agents.htm,Sales,$29.55     per hour,"$61,460",High school diploma or equivalent,None,Moderate-term on-the-job training,103700,-6% (Decline),"Advertising sales agents, also calledadvertising sales representatives, sell advertising space to businesses and individuals. They contact potential clients, make sales presentations, and maintain client accounts. Advertising sales agents typically do the following: Advertising sales agents connect clients with promotional services across various media platforms, including print, radio, television, online, and social media. They meet with clients to discuss available options. They also identify ",2025-10-01T12:42:04.016348
"Bookkeeping, accounting, and auditing clerks",https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,Office And Administrative Support,$23.66     per hour,"$49,210","Some college, no degree",None,Moderate-term on-the-job training,1613400,-6% (Decline),"Bookkeeping, accounting, and auditing clerks compute, classify, and record data to help organizations keep complete and accurate financial records. Bookkeeping, accounting, and auditing clerks typically do the following: Workers in this occupation engage in a wide range of tasks. Some are full-charge bookkeeping clerks who maintain an entire organization’s books. Others are accounting clerks who handle specific tasks. The records that bookkeeping, accounting, and auditing clerks work with includ",2025-10-01T12:42:04.583017
Actors,https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,Entertainment And Sports,$23.33     per hour,$23,"Some college, no degree",None,Long-term on-the-job training,57000,0% (Little or no change),"Actors express ideas and portray characters in theater, film, television, and other performing arts media. They interpret a writer’s script to entertain or inform an audience. Actors typically do the following: Many actors struggle to find steady work, and few achieve recognition as stars. Some work as “extras”—actors who have no lines to deliver but are included in scenes to give a more realistic setting. Some actors do voiceover or narration work for animated features, audiobooks, or other ele",2025-10-01T12:42:05.150027
Aerospace engineering and operations technologists and technicians,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm,Architecture And Engineering,$38.38     per hour,"$79,830",Associate's degree,None,None,9300,8% (Much faster than average),"Aerospace engineering and operations technologists and technicians install, run, and maintain equipment used to develop, test, produce, and sustain aircraft and spacecraft. Their work is critical to ensuring the safety and precision of key parts of these vehicles and systems. Aerospace engineering and operations technologists and technicians typically do the following: New aircraft designs undergo years of testing before they are put into service. As part of the job, technologists and technician",2025-10-01T12:42:05.741752
Aircraft mechanics and service technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,Installation Maintenance And Repair,$38.05     per hour,"$79,140",Postsecondary nondegree award,None,None,160800,5% (Faster than average),"Aircraft and avionics equipment mechanics and technicians install, test, adjust, and repair equipment and systems in aircraft. Aircraft mechanics and service technicians typically do the following: Avionics technicians typically do the following: To keep aircraft operating safely and reliably, aircraft and avionics equipment mechanics and technicians perform scheduled maintenance, make repairs, and complete inspections. They follow detailed regulations set by theFederal Aviation Administration(F",2025-10-01T12:42:06.307509
Power plant operators,https://www.bls.gov/ooh/production/power-plant-operators-distributors-and-dispatchers.htm,Production,$49.81     per hour,"$103,600",High school diploma or equivalent,None,Long-term on-the-job training,46600,-10% (Decline),"Power plant operators, distributors, and dispatchers control the systems that generate and distribute electric power. Power plant operators, distributors, and dispatchers typically do the following: Power plant operators, distributors, and dispatchers control power plants and the flow of electricity from plants to substations, which distribute electricity to businesses, homes, and other structures. Nuclear power reactor operatorscontrol nuclear reactors. They maintain or adjust power output and ",2025-10-01T12:42:06.871871
"Preschool teachers, except special education",https://www.bls.gov/ooh/education-training-and-library/preschool-teachers.htm,Education Training And Library,$17.85     per hour,"$37,120",Associate's degree,None,None,555100,4% (As fast as average),"Preschool teachers educate and care for children younger than age 5 who have not yet entered kindergarten. They teach language, motor, and social skills to young children. Preschool teachers typically do the following: Young children learn from playing, problem solving, and experimenting. Preschool teachers use play and other instructional techniques to teach children. For example, they use storytelling and rhyming games to teach language and vocabulary. They may help improve children’s social s",2025-10-01T12:42:07.456820
Private detectives and investigators,https://www.bls.gov/ooh/protective-service/private-detectives-and-investigators.htm,Protective Service,$25.18     per hour,"$52,370",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,43600,6% (Faster than average),"Private detectives and investigators gather, analyze, and report information to clients regarding legal or personal matters. Their services include verifying people’s backgrounds, finding missing persons, and investigating crimes. Private detectives and investigators typically do the following: Private detectives and investigators offer many services for individuals, attorneys, and businesses. For example, they may perform background checks, investigate employees suspected of workplace theft, an",2025-10-01T12:42:08.023690
Property appraisers and assessors,https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm,Business And Financial,$31.45     per hour,"$65,420",Bachelor's degree,None,Long-term on-the-job training,77300,4% (As fast as average),"Property appraisers and assessors provide a value estimate on real estate and tangible personal and business property. Property appraisers and assessors typically do the following: Property appraisers and assessors work in localities or with items that they are familiar with so that they know any factors that may affect the property's value. Appraisers of personal and business propertyestimate the value of items such as jewelry, art, antiques, collectibles, and equipment. They prepare reports fo",2025-10-01T12:42:08.587186
Public relations managers,https://www.bls.gov/ooh/management/public-relations-managers.htm,Management,$63.88     per hour,"$132,870",Bachelor's degree,5 years or more,None,128900,5% (Faster than average),Public relations managers plan and direct the creation of material that will enhance the public image of their employer or client. Fundraising managers coordinate campaigns that bring in donations for their organization. Public relations managers typically do the following: Fundraising managers typically do the following: Public relations managersreview press releases and sponsor corporate events to help maintain and improve the image of their organization or client. Public relations managers he,2025-10-01T12:42:09.154147
Public safety telecommunicators,https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm,Office And Administrative Support,$24.39     per hour,"$50,730",High school diploma or equivalent,None,Moderate-term on-the-job training,105200,3% (As fast as average),"Public safety telecommunicators, including911 operatorsandfire dispatchers, answer emergency and nonemergency calls and provide resources to assist those in need. Public safety telecommunicators typically do the following: Public safety telecommunicators answer requests from people who need help. Depending on the situation, these workers may contact police, firefighters, emergency services, or a combination of the three. Telecommunicators take both emergency and nonemergency requests. Public saf",2025-10-01T12:42:09.753307
Diagnostic medical sonographers,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,Healthcare,$42.95     per hour,"$89,340",Associate's degree,None,None,90000,13% (Much faster than average),"Diagnostic medical sonographers, also called ultrasound technicians, operate special equipment to create images of inside the body. They work closely withphysicians and surgeons, who view the images to assess and diagnose medical conditions. Diagnostic medical sonographers typically do the following: Diagnostic medical sonographers specialize in creating images, known as sonograms or ultrasounds, that depict the body’s organs and tissues. Sonography is often the first imaging test performed when",2025-10-01T12:42:10.321695
Models,https://www.bls.gov/ooh/sales/models.htm,Sales,$43.26     per hour,"$89,990",No formal educational credential,None,None,6700,-1% (Decline),"Models pose forartists,photographers, or customers to help advertise a variety of products, including clothing, cosmetics, food, and appliances. Models also work as a fit or fitting model, enabling the manufacturer orfashion designerto achieve the best fit for new styles. Models typically do the following: Almost all models sign with modeling agencies. Agencies represent and promote a model to clients in return for a portion of the model’s earnings. Models typically apply for a position with an ",2025-10-01T12:42:10.869487
"Heating, air conditioning, and refrigeration mechanics and installers",https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm,Installation Maintenance And Repair,$28.75     per hour,"$59,810",Postsecondary nondegree award,None,Long-term on-the-job training,425200,8% (Much faster than average),"Heating, air conditioning, and refrigeration mechanics and installers work on heating, ventilation, air conditioning, and refrigeration (HVACR) systems that control the temperature and air quality in buildings. Heating, air conditioning, and refrigeration mechanics and installers—often calledHVAC technicians—typically do the following: HVAC technicians ensure that heating and air conditioning systems work properly to control the temperature, humidity, and overall air quality in buildings. Some H",2025-10-01T12:42:11.431387
"Adult basic education, adult secondary education, and english as a second language instructors",https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,Education Training And Library,$28.82     per hour,"$59,950",Bachelor's degree,None,None,40900,-14% (Decline),"Adult basic and secondary education and ESL (English as a Second Language) teachers instruct adults in fundamental skills, such as reading, writing, and speaking English. They also help students earn their high school equivalency credential. Adult basic and secondary education and ESL teachers typically do the following: Students’ educational level and skills are assessed before they enter these programs. Teachers may conduct the assessments; however, sometimes another staff member assesses stud",2025-10-01T12:42:11.990774
Agricultural engineers,https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm,Architecture And Engineering,$40.69     per hour,"$84,630",Bachelor's degree,None,None,1700,6% (Faster than average),"Agricultural engineers attempt to solve agricultural problems concerning power supplies, the efficiency of machinery, the use of structures and facilities, pollution and environmental issues, and the storage and processing of agricultural products. Agricultural engineers typically do the following: Agricultural engineers work in farming, including aquaculture (farming of seafood), forestry, and food processing. They work on a wide variety of projects. For example, some agricultural engineers wor",2025-10-01T12:42:12.553980
Materials engineers,https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,Architecture And Engineering,$52.07     per hour,"$108,310",Bachelor's degree,None,None,23000,6% (Faster than average),"Materials engineers develop, process, and test materials used to create a range of products, from computer chips and aircraft wings to golf clubs and biomedical devices. They study the properties and structures of metals, ceramics, plastics, composites, nanomaterials (extremely small substances), and other substances in order to create new materials that meet certain mechanical, electrical, and chemical requirements. They also help select materials for specific products and develop new ways to u",2025-10-01T12:42:13.131519
Administrative services managers,https://www.bls.gov/ooh/management/administrative-services-managers.htm,Management,$51.39     per hour,"$106,880",Bachelor's degree,Less than 5 years,None,422600,4% (As fast as average),"Administrative services and facilities managers plan, direct, and coordinate activities that help an organization run efficiently. Administrative services and facilities managers typically do the following: Administrative services managers oversee one or more office support services for an organization. In a large organization, these workers may specialize in an area such as recordkeeping or mail distribution. In a small organization, they may direct all support services and may be called thebus",2025-10-01T12:42:13.730221
Childcare workers,https://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm,Personal Care And Service,$15.41     per hour,"$32,050",High school diploma or equivalent,None,Short-term on-the-job training,991600,-3% (Decline),"Childcare workers attend to children's needs while helping to foster early development. They may help younger children prepare for kindergarten or assist older children with homework. Childcare workers typically do the following: Childcare workers read and play with babies and toddlers to introduce basic concepts. For example, they teach them how to share and take turns by playing games with other children. Childcare workers help preschool-age children prepare for kindergarten. Young children le",2025-10-01T12:42:14.287824
Bartenders,https://www.bls.gov/ooh/food-preparation-and-serving/bartenders.htm,Food Preparation And Serving,$16.12     per hour,"$33,530",No formal educational credential,None,Short-term on-the-job training,756700,6% (Faster than average),"Bartenders mix drinks and serve them directly to customers or through wait staff. Bartenders typically do the following: Bartenders fill drink orders for customers either directly at the bar or throughwaiters and waitressesserving the dining room. Bartenders must know a wide range of drink recipes and be able to mix drinks quickly. When measuring and pouring beverages, they must avoid spillage or overpouring. They should be personable with customers at the bar and also work well with waiters and",2025-10-01T12:42:14.859571
"Health and safety engineers, except mining safety engineers and inspectors",https://www.bls.gov/ooh/architecture-and-engineering/health-and-safety-engineers.htm,Architecture And Engineering,$52.72     per hour,"$109,660",Bachelor's degree,None,None,23800,4% (As fast as average),"Health and safety engineers apply their knowledge of industrial processes, mechanics, psychology, and other disciplines to promote worksite or product safety. Health and safety engineers typically do the following: Health and safety engineers evaluate worksites, products, and systems to ensure safety. They identify concerns and recommend changes to address potential risks. Their work duties and job titles may vary by position. For example,fire prevention and protection engineersanalyze potential",2025-10-01T12:42:15.420977
Waiters and waitresses,https://www.bls.gov/ooh/food-preparation-and-serving/waiters-and-waitresses.htm,Food Preparation And Serving,$16.23     per hour,"$33,760",No formal educational credential,None,Short-term on-the-job training,2329700,-1% (Decline),"Waiters and waitresses take orders and serve food and beverages to customers in dining establishments. Waiters and waitresses typically do the following: Waiters and waitresses, also calledservers, ensure that customers have a satisfying dining experience. Specific duties vary with the establishment in which they work. Before and between waiting on customers, servers usually prepare tables and work stations. Tasks may include refilling containers, such as napkin holders, salt and pepper shakers,",2025-10-01T12:42:15.983727
Pharmacy technicians,https://www.bls.gov/ooh/healthcare/pharmacy-technicians.htm,Healthcare,$20.90     per hour,"$43,460",High school diploma or equivalent,None,Moderate-term on-the-job training,490400,6% (Faster than average),"Pharmacy technicians help pharmacists dispense prescription medication to customers or health professionals. They mainly work in retail pharmacies and hospitals. Pharmacy technicians typically do the following: Pharmacy technicians work under the supervision ofpharmacists, who must review prescriptions before they are given to patients. In most states, technicians can compound or mix some medications and call physicians for prescription refill authorizations. Technicians also may need to operate",2025-10-01T12:42:16.547102
Chemical engineers,https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,Architecture And Engineering,$58.59     per hour,"$121,860",Bachelor's degree,None,None,21600,3% (As fast as average),"Chemical engineers apply the principles of chemistry, physics, and engineering to design equipment and processes for manufacturing products such as gasoline, detergents, and paper. Chemical engineers typically do the following: Chemical engineers work on producing a variety of chemicals and products, such as electronics, food, clothing, and paper. Along with designing and developing manufacturing processes, they ensure the safety of both work environments and consumers. Chemical engineers common",2025-10-01T12:42:17.101867
Public relations specialists,https://www.bls.gov/ooh/media-and-communication/public-relations-specialists.htm,Media And Communication,$33.55     per hour,"$69,780",Bachelor's degree,None,None,315900,5% (Faster than average),"Public relations specialists create and maintain a positive public image for the individuals, groups, or organizations they represent. They craft media releases and develop social media programs to shape public perception of their clients and to increase awareness of each client’s work and goals. Public relations specialists typically do the following: Public relations specialists,also calledcommunications specialists, handle an individual’s, group’s, or organization’s communication with the pub",2025-10-01T12:42:17.670458
Dancers,https://www.bls.gov/ooh/entertainment-and-sports/dancers-and-choreographers.htm,Entertainment And Sports,$24.53     per hour,$24,See How to Become One,See How to Become One,Long-term on-the-job training,17000,5% (Faster than average),"Dancers and choreographers use dance performances to express ideas and stories. There are many types of dance, such as ballet, tango, modern dance, tap, and jazz. Dancers typically do the following: Dancers spend years learning dances and perfecting their skills. They usually perform as part of a group and know a variety of dance styles, including ballet, tap, and modern dance. In addition to traditional performances in front of a live audience, many perform on TV, in videos on the Internet, and",2025-10-01T12:42:18.234374
"Disc jockeys, except radio",https://www.bls.gov/ooh/media-and-communication/announcers.htm,Media And Communication,$21.69     per hour,$21,See How to Become One,None,See How to Become One,39500,-2% (Decline),"Announcers present news and sports or may interview guests on media such as radio and television. Disc jockeys (DJs) act as masters of ceremonies (emcees) or play recorded music at weddings, parties, or clubs. Announcers and DJs typically do the following: Broadcast announcers and radio DJspresent music or the news, sports, traffic, and weather. Announcers are expected to be up to date with current events or a specific field, such as politics or sports, so that they can comment on these issues d",2025-10-01T12:42:18.823290
