occupation_name,url,category,median_pay_hourly,median_pay_annual,entry_level_education,work_experience,on_the_job_training,number_of_jobs,job_outlook,what_they_do,scraped_at
Marriage and family therapists,https://www.bls.gov/ooh/community-and-social-service/marriage-and-family-therapists.htm,Community And Social Service,$30.66     per hour,"$63,780",Master's degree,None,Internship/residency,77800,13% (Much faster than average),"Marriage and family therapists diagnose and treat cognitive, behavioral, or similar disorders in the context of couples and other relationships. Marriage and family therapists typically do the following: Marriage and family therapists work with individuals, couples, and families. Even when treating individuals, therapists focus on family systems. They evaluate family relationships and development to understand how these affect clients’ mental health. Treatment often involves addressing issues, s",2025-10-01T12:40:24.509883
"Mobile heavy equipment mechanics, except engines",https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,Installation Maintenance And Repair,$30.16     per hour,"$62,740",High school diploma or equivalent,None,Long-term on-the-job training,245600,6% (Faster than average),"Heavy vehicle and mobile equipment service technicians, also calledmechanics, inspect, maintain, and repair vehicles and machinery used in construction, farming, rail transportation, and other industries. Heavy vehicle and mobile equipment service technicians typically do the following: Heavy vehicles and mobile equipment are critical to many industrial activities, including construction and railroad transportation. Various types of equipment, such as tractors, cranes, and bulldozers, are used t",2025-10-01T12:40:25.078135
"Radio, cellular, and tower equipment installers and repairers",https://www.bls.gov/ooh/installation-maintenance-and-repair/telecommunications-equipment-installers-and-repairers-except-line-installers.htm,Installation Maintenance And Repair,$30.92     per hour,"$64,310",See How to Become One,None,See How to Become One,268500,-3% (Decline),"Telecommunications technicians, also known astelecom technicians, install and maintain telecommunications infrastructure. They set up and fix different types of devices or equipment that carry communications signals, such as internet routers and fiber optic lines. Telecommunications technicians typically do the following: Telecommunications technicians construct and maintain the infrastructure that transmits information electronically, often across great distances. They install and repair teleco",2025-10-01T12:40:25.623436
"Insurance appraisers, auto damage",https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,Business And Financial,$36.92     per hour,"$76,790",See How to Become One,None,See How to Become One,365300,-5% (Decline),"Claims adjusters, appraisers, examiners, and investigators evaluate insurance claims. They decide whether an insurance company must pay a claim and if so, how much. Claims adjusters, appraisers, examiners, and investigators typically do the following: Claims adjusters, appraisers, examiners, and investigators have varying duties, depending on the type of insurance company they work for. They must know a lot about what their company insures. For example, workers in property and casualty insurance",2025-10-01T12:40:26.171443
"Foreign language and literature teachers, postsecondary",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,Education Training And Library,,"$83,980",See How to Become One,See How to Become One,None,1415600,7% (Much faster than average),"Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level. They may also conduct research and publish scholarly papers and books. Postsecondary teachers typically do the following: Postsecondary teachers, often referred to asprofessorsorfaculty, specialize in a variety of subjects and fields. At colleges and universities, professors are organized into departments by degree field, such as history, science, or business. A professor may teach one or mor",2025-10-01T12:40:26.746766
"Compensation, benefits, and job analysis specialists",https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,Business And Financial,$37.03     per hour,"$77,020",Bachelor's degree,Less than 5 years,None,107000,5% (Faster than average),"Compensation, benefits, and job analysis specialists oversee wage and nonwage programs that an organization provides to its employees in return for their work. They also evaluate position descriptions to determine details such as classification and salary. Compensation, benefits, and job analysis specialists typically do the following: Some specialists perform tasks within all areas of compensation, benefits, and job analysis. Others specialize in a specific area. Compensation specialistsassess ",2025-10-01T12:40:27.303772
Occupational therapists,https://www.bls.gov/ooh/healthcare/occupational-therapists.htm,Healthcare,$47.28     per hour,"$98,340",Master's degree,None,None,160000,14% (Much faster than average),"Occupational therapists evaluate and treat people who have injuries, illnesses, or disabilities. They help clients meet goals to develop, recover, improve, and maintain skills needed for daily living and working. Occupational therapists typically do the following: Occupational therapists work with people who have permanent disabilities, such as cerebral palsy, and may need help with daily tasks. They recommend options and show clients how to use appropriate adaptive equipment, such as leg braces",2025-10-01T12:40:27.889765
Computer programmers,https://www.bls.gov/ooh/computer-and-information-technology/computer-programmers.htm,Computer And Information Technology,$47.44     per hour,"$98,670",Bachelor's degree,None,None,121200,-6% (Decline),"Computer programmers write, modify, and test code and scripts that allow computer software and applications to function properly. They turn the designs created by software developers and engineers into instructions that a computer can follow. In addition, programmers run tests to ensure that newly created applications and software produce the expected results. If the products do not work correctly, programmers check the code or scripts for mistakes and modify them. Computer programmers typically",2025-10-01T12:40:28.442046
Genetic counselors,https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,Healthcare,$47.55     per hour,"$98,910",Master's degree,None,None,4000,9% (Much faster than average),"Genetic counselors assess clients’ risk for a variety of inherited conditions, such as birth defects. They review genetic test results with individuals and families and support them in making decisions based on those results. They also offer information to other healthcare providers. Genetic counselors typically do the following: Genetic counselors identify hereditary risks through the study of genetics. Specifically, they study genetic disorders or syndromes that are inherited from one’s family",2025-10-01T12:40:28.998739
Editors,https://www.bls.gov/ooh/media-and-communication/editors.htm,Media And Communication,$36.18     per hour,"$75,260",Bachelor's degree,Less than 5 years,None,115800,1% (Slower than average),"Editors plan, review, and revise content for publication. Editors typically do the following: Editors plan, coordinate, and revise material for publication in books, newspapers, or periodicals or on websites. Editors review story ideas and decide what material will appeal most to readers. During the review process, editors offer comments to improve the product and suggest titles and headlines. In smaller organizations, a single editor may do all the editorial duties or share them with only a few",2025-10-01T12:40:29.555506
Buyers and purchasing agents,https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,Business And Financial,$38.38     per hour,"$79,830",Bachelor's degree,See How to Become One,See How to Become One,605600,5% (Faster than average),"Buyers and purchasing agents buy products and services for organizations to use or resell. They evaluate suppliers, negotiate contracts, and review the quality of products. Purchasing managers oversee the work of buyers and purchasing agents and typically handle more complex procurement tasks. Purchasing managers and buyers and purchasing agents typically do the following: Purchasing managers and buying and purchasing agents focus on efficient acquisition of goods or services for their organizat",2025-10-01T12:40:30.143558
Police and sheriff's patrol officers,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,Protective Service,$37.15     per hour,"$77,270",See How to Become One,See How to Become One,Moderate-term on-the-job training,826800,3% (As fast as average),"Police officers protect lives and property. Detectives and criminal investigators, who are sometimes calledagentsorspecial agents, gather facts and collect evidence of crimes. Police officers, detectives, and criminal investigators typically do the following: Job duties differ by employer and function, but police and detectives are required by law to write detailed reports and keep meticulous records. Most carry law enforcement equipment such as radios, handcuffs, and guns. The following are exa",2025-10-01T12:40:30.719468
Network and computer systems administrators,https://www.bls.gov/ooh/computer-and-information-technology/network-and-computer-systems-administrators.htm,Computer And Information Technology,$46.54     per hour,"$96,800",Bachelor's degree,None,None,331500,-4% (Decline),"Network and computer systems administrators install, configure, and maintain organizations’ local area networks (LANs), wide area networks (WANs), data communication networks, operating systems, and servers. Network and computer systems administrators typically do the following: Network and computer systems administrators may oversee both networks and systems, but they often specialize in one or the other. Network administrators typically focus on setting up and maintaining the infrastructure th",2025-10-01T12:40:31.278595
Fishing and hunting workers,https://www.bls.gov/ooh/farming-fishing-and-forestry/fishers-and-related-fishing-workers.htm,Farming Fishing And Forestry,,,No formal educational credential,None,Moderate-term on-the-job training,21900,-5% (Decline),"Fishing and hunting workers catch and trap various types of animal life. The fish and wild animals they catch are for human food, animal feed, bait, and other uses. Fishers and related fishing workers typically do the following: Hunters and trappers typically do the following: Fishers and related fishing workerswork in deep or shallow water. In deep water, they typically perform their duties on large fishing boats that are equipped for long stays at sea. Some process the catch on board and prepa",2025-10-01T12:40:31.832463
"Floor layers, except carpet, wood, and hard tiles",https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,Construction And Extraction,$25.00     per hour,"$52,000",No formal educational credential,None,See How to Become One,112300,6% (Faster than average),"Flooring installers and tile and stone setters lay and finish carpet, wood, vinyl, and other materials, such as ceramic, glass, marble, and granite. Flooring installers and tile and stone setters typically do the following: Flooring installers and tile and stone setters lay the materials that improve the look and feel of homes, offices, restaurants, and other buildings. Many of these workers install materials on floors. However, they also work on walls, ceilings, countertops, and showers. Instal",2025-10-01T12:40:32.391091
Floral designers,https://www.bls.gov/ooh/arts-and-design/floral-designers.htm,Arts And Design,$17.37     per hour,"$36,120",High school diploma or equivalent,None,Moderate-term on-the-job training,43800,-6% (Decline),"Floral designers, also called florists, arrange live, dried, and silk flowers and greenery to make decorative displays. They also help customers select flowers and containers, ribbons, and other accessories. Floral designers typically do the following: Floral designers may create a single arrangement for a specific purpose or multiple displays for special occasions, such as weddings or funerals. They use artistry and their knowledge of different types of blooms to choose appropriate flowers or p",2025-10-01T12:40:32.946141
Food cooking machine operators and tenders,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,Production,$19.26     per hour,"$40,050",See How to Become One,None,Moderate-term on-the-job training,282600,5% (Faster than average),"Food processing equipment workers operate machinery that mixes, cooks, or processes ingredients for manufacturing food products. Food processing equipment workers typically do the following: Food processing equipment workers often have different duties depending on the type of machinery they use or the goods they process. Job titles may be specific to the type of food workers produce. Food and tobacco roasting, baking, and drying machine operators and tendersrun equipment that uses dry heat to m",2025-10-01T12:40:33.521004
Food preparation workers,https://www.bls.gov/ooh/food-preparation-and-serving/food-preparation-workers.htm,Food Preparation And Serving,$16.45     per hour,"$34,220",No formal educational credential,None,Short-term on-the-job training,902700,-3% (Decline),"Food preparation workers perform a variety of tasks other than cooking. Their duties include preparing cold foods, slicing meat, peeling and cutting vegetables, brewing coffee or tea, and doing many other food service tasks. Food preparation workers typically do the following: Food preparation workers help cooks and other kitchen staff by preparing ingredients for dishes. Common duties include slicing and dicing fruits, vegetables, and meat; making salads, sandwiches, and other cold food items; ",2025-10-01T12:40:34.079681
Food service managers,https://www.bls.gov/ooh/management/food-service-managers.htm,Management,$31.40     per hour,"$65,310",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,352800,6% (Faster than average),"Food service managers are responsible for the daily operation of restaurants or other establishments that prepare and serve food and beverages. They direct staff to ensure that customers are satisfied with their dining experience, and they manage the business to ensure that it runs efficiently. Food service managers typically do the following: Managers coordinate activities of the kitchen and dining room staff to ensure that customers are served properly and in a timely manner. They oversee orde",2025-10-01T12:40:34.633328
Forensic science technicians,https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm,Life Physical And Social Science,$32.42     per hour,"$67,440",Bachelor's degree,None,Moderate-term on-the-job training,20700,13% (Much faster than average),"Forensic science technicians aid criminal investigations by collecting and analyzing evidence. Technicians often specialize in either crime scene or laboratory analysis. Forensic science technicians work at crime scenes or in laboratories. At crime scenes, forensic science technicians typically do the following: In laboratories, forensic science technicians typically do the following: Many forensic science technicians do most or all of the duties described above. Others may specialize in certain",2025-10-01T12:40:35.188951
Foresters,https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm,Life Physical And Social Science,$33.20     per hour,"$69,060",Bachelor's degree,None,None,42400,3% (As fast as average),"Conservation scientists and foresters manage the land quality of forests, parks, rangelands, and other natural resources. Conservation scientists and foresters typically do the following: Conservation scientists and foresters evaluate data on forest and soil quality, assessing damage to trees and forest lands caused by fires and logging activities. In addition, they lead activities such as suppressing fires and planting seedlings. Fire-suppression activities include measuring the speed at which ",2025-10-01T12:40:35.744338
Receptionists and information clerks,https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,Office And Administrative Support,$17.90     per hour,"$37,230",High school diploma or equivalent,None,Short-term on-the-job training,1007200,0% (Little or no change),"Receptionists do administrative tasks, such as answering phones, greeting visitors, and providing general information about their organization. Receptionists typically do the following: Receptionists are often the first employee of an organization to have contact with a customer or client. They are responsible for making a good first impression for the organization. Receptionists’ specific responsibilities vary by employer. For example, receptionists in hospitals and doctors’ offices may collect",2025-10-01T12:40:36.314114
Veterinary assistants and laboratory animal caretakers,https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm,Healthcare,$17.94     per hour,"$37,320",High school diploma or equivalent,None,Short-term on-the-job training,117800,9% (Much faster than average),"Veterinary assistants and laboratory animal caretakers handle routine animal care and help scientists,veterinarians, andveterinary technologists and technicianswith their daily tasks. Veterinary assistants and laboratory animal caretakers typically do the following: Veterinary assistants and laboratory animal caretakers also provide nursing care before surgery and other medical procedures. They may prepare equipment and pass surgical instruments and materials to veterinarians during surgery. The",2025-10-01T12:40:36.869630
